codigo;nome do produto;sexo;tamanho;cor;imagem;quantidade;valor de custo;perc lucro;valor de venda
1072;Vestido Corações Isabella Mundo Ray;Feminino;10 anos;colorido;WhatsApp Image 2022-09-28 at 18.36.32 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec5n4U39XGrQLyqE/fldknrxBWGyUjOsAV/attFGJjRaIq3ogjgb), WhatsApp Image 2022-09-28 at 18.36.32 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec5n4U39XGrQLyqE/fldknrxBWGyUjOsAV/atttYGF7g5yz6q9xU), WhatsApp Image 2022-09-28 at 18.36.33.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec5n4U39XGrQLyqE/fldknrxBWGyUjOsAV/attmn91hnilUQHKNG);1;R$30.32;129%;R$69.90
1073;Vestido Corações Isabella Mundo Ray;Feminino;12 anos;colorido;WhatsApp Image 2022-09-28 at 18.36.32 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recoZwwycwHgEd0kf/fldknrxBWGyUjOsAV/attFGJjRaIq3ogjgb), WhatsApp Image 2022-09-28 at 18.36.32 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recoZwwycwHgEd0kf/fldknrxBWGyUjOsAV/atttYGF7g5yz6q9xU), WhatsApp Image 2022-09-28 at 18.36.33.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recoZwwycwHgEd0kf/fldknrxBWGyUjOsAV/attmn91hnilUQHKNG);1;R$30.32;129%;R$69.90
1074;Vestido Manga Curta Algodão Melinda Mundo Ray;Feminino;2 Anos;verde;WhatsApp Image 2022-09-28 at 18.36.35 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recu034ZEGnDeDc4w/fldknrxBWGyUjOsAV/att3A78jFAbmozz3R), WhatsApp Image 2022-09-28 at 18.36.35 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recu034ZEGnDeDc4w/fldknrxBWGyUjOsAV/attWbqeEmLjtN0bF3);1;R$29.56;100%;R$59.90
1075;Vestido Manga Curta Algodão Melinda Mundo Ray;Feminino;2 Anos;Amarelo;WhatsApp Image 2022-09-28 at 18.36.33 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recoD0XDG5icoZsyX/fldknrxBWGyUjOsAV/attaEIcgrhmzGqMRT), WhatsApp Image 2022-09-28 at 18.36.34.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recoD0XDG5icoZsyX/fldknrxBWGyUjOsAV/attC41ZHJlGWQ7rvr);1;R$29.56;101%;R$59.90
1076;Vestido Manga Curta Algodão Melinda Mundo Ray;Feminino;6 anos;Amarelo;WhatsApp Image 2022-09-28 at 18.36.33 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recqMGZfZYPmjBUU4/fldknrxBWGyUjOsAV/attaEIcgrhmzGqMRT), WhatsApp Image 2022-09-28 at 18.36.34.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recqMGZfZYPmjBUU4/fldknrxBWGyUjOsAV/attC41ZHJlGWQ7rvr);1;R$29.56;101%;R$59.90
1077;Vestido Manga Curta Algodão Melinda Mundo Ray;Feminino;8 anos;verde;WhatsApp Image 2022-09-28 at 18.36.35 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reccADxw7XXoIlvs1/fldknrxBWGyUjOsAV/att3A78jFAbmozz3R), WhatsApp Image 2022-09-28 at 18.36.35 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reccADxw7XXoIlvs1/fldknrxBWGyUjOsAV/attWbqeEmLjtN0bF3);1;R$29.56;101%;R$59.90
1078;Vestido Manga Curta Algodão Melinda Mundo Ray;Feminino;10 anos;verde;WhatsApp Image 2022-09-28 at 18.36.35 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rechGu4DfgBME0DOD/fldknrxBWGyUjOsAV/att3A78jFAbmozz3R), WhatsApp Image 2022-09-28 at 18.36.35 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rechGu4DfgBME0DOD/fldknrxBWGyUjOsAV/attWbqeEmLjtN0bF3);1;R$29.56;101%;R$59.90
1079;Conjunto Candy Mundo Ray;Feminino;2 Anos;Amarelo;WhatsApp Image 2022-09-28 at 18.36.31.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec235iOhgDZxcVF2/fldknrxBWGyUjOsAV/attZSNljUlQ23AqPM), WhatsApp Image 2022-09-28 at 18.36.36 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec235iOhgDZxcVF2/fldknrxBWGyUjOsAV/att8SFIA0TTduvvgo), WhatsApp Image 2022-09-28 at 18.36.36.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec235iOhgDZxcVF2/fldknrxBWGyUjOsAV/attDd6DtEaUY3sWvY);1;R$26.52;86%;R$49.90
1241;Conjunto Candy Mundo Ray;Feminino;4 anos;Amarelo;WhatsApp Image 2022-09-28 at 18.36.31.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reclHncQXof5ncqMx/fldknrxBWGyUjOsAV/attZSNljUlQ23AqPM), WhatsApp Image 2022-09-28 at 18.36.36 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reclHncQXof5ncqMx/fldknrxBWGyUjOsAV/att8SFIA0TTduvvgo), WhatsApp Image 2022-09-28 at 18.36.36.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reclHncQXof5ncqMx/fldknrxBWGyUjOsAV/attDd6DtEaUY3sWvY);1;R$26.52;86%;R$49.90
1242;Conjunto Candy Mundo Ray;Feminino;8 anos;Amarelo;WhatsApp Image 2022-09-28 at 18.36.31.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recOrXpaq5JdmuU4P/fldknrxBWGyUjOsAV/attZSNljUlQ23AqPM), WhatsApp Image 2022-09-28 at 18.36.36 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recOrXpaq5JdmuU4P/fldknrxBWGyUjOsAV/att8SFIA0TTduvvgo), WhatsApp Image 2022-09-28 at 18.36.36.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recOrXpaq5JdmuU4P/fldknrxBWGyUjOsAV/attDd6DtEaUY3sWvY);1;R$26.52;86%;R$49.90
1080;Conjunto Candy Mundo Ray;Feminino;2 Anos;Lilás;WhatsApp Image 2022-09-28 at 18.36.30 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recOWRS4QtTqhj0sN/fldknrxBWGyUjOsAV/attslb6Dc7NmqEqO5), WhatsApp Image 2022-09-28 at 18.36.30.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recOWRS4QtTqhj0sN/fldknrxBWGyUjOsAV/attly7jszAy5ncVeU), WhatsApp Image 2022-09-28 at 18.36.31.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recOWRS4QtTqhj0sN/fldknrxBWGyUjOsAV/attWhdwfR7or47vBo), WhatsApp Image 2022-09-28 at 18.36.34 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recOWRS4QtTqhj0sN/fldknrxBWGyUjOsAV/attpo8Pu8IXcI8Kcm);1;R$26.52;86%;R$49.90
1081;Conjunto Candy Mundo Ray;Feminino;4 anos;Lilás;WhatsApp Image 2022-09-28 at 18.36.30 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recfEYHGPwtYrxb6g/fldknrxBWGyUjOsAV/attslb6Dc7NmqEqO5), WhatsApp Image 2022-09-28 at 18.36.30.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recfEYHGPwtYrxb6g/fldknrxBWGyUjOsAV/attly7jszAy5ncVeU), WhatsApp Image 2022-09-28 at 18.36.31.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recfEYHGPwtYrxb6g/fldknrxBWGyUjOsAV/attWhdwfR7or47vBo), WhatsApp Image 2022-09-28 at 18.36.34 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recfEYHGPwtYrxb6g/fldknrxBWGyUjOsAV/attpo8Pu8IXcI8Kcm);1;R$26.52;86%;R$49.90
1082;Conjunto Candy Mundo Ray;Feminino;6 anos;Lilás;WhatsApp Image 2022-09-28 at 18.36.30 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recvSCdqqOmfd54fC/fldknrxBWGyUjOsAV/attslb6Dc7NmqEqO5), WhatsApp Image 2022-09-28 at 18.36.30.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recvSCdqqOmfd54fC/fldknrxBWGyUjOsAV/attly7jszAy5ncVeU), WhatsApp Image 2022-09-28 at 18.36.31.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recvSCdqqOmfd54fC/fldknrxBWGyUjOsAV/attWhdwfR7or47vBo), WhatsApp Image 2022-09-28 at 18.36.34 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recvSCdqqOmfd54fC/fldknrxBWGyUjOsAV/attpo8Pu8IXcI8Kcm);1;R$26.52;86%;R$49.90
1083;Conjunto Candy Mundo Ray;Feminino;8 anos;Lilás;WhatsApp Image 2022-09-28 at 18.36.30 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec7zpbfdST8rCa70/fldknrxBWGyUjOsAV/attslb6Dc7NmqEqO5), WhatsApp Image 2022-09-28 at 18.36.30.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec7zpbfdST8rCa70/fldknrxBWGyUjOsAV/attly7jszAy5ncVeU), WhatsApp Image 2022-09-28 at 18.36.31.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec7zpbfdST8rCa70/fldknrxBWGyUjOsAV/attWhdwfR7or47vBo), WhatsApp Image 2022-09-28 at 18.36.34 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec7zpbfdST8rCa70/fldknrxBWGyUjOsAV/attpo8Pu8IXcI8Kcm);1;R$26.52;86%;R$49.90
1088;Conjunto Candy Mundo Ray;Feminino;8 anos;Rosa;WhatsApp Image 2022-09-28 at 18.36.29.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recT9W1xGNBLcoJOH/fldknrxBWGyUjOsAV/attSwimyBTPrPzA1O), WhatsApp Image 2022-09-28 at 18.36.31.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recT9W1xGNBLcoJOH/fldknrxBWGyUjOsAV/attXsyHBBv8DytcnS), WhatsApp Image 2022-09-28 at 18.36.35 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recT9W1xGNBLcoJOH/fldknrxBWGyUjOsAV/attbUNN2BMexNqy7s);1;R$26.52;86%;R$49.90
1089;Conjunto Candy Mundo Ray;Feminino;4 anos;laranja;WhatsApp Image 2022-09-28 at 18.36.29.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec9KKEVLdxc5qYeY/fldknrxBWGyUjOsAV/atteJ8Dt065nxAipi), WhatsApp Image 2022-09-28 at 18.36.30 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec9KKEVLdxc5qYeY/fldknrxBWGyUjOsAV/attow5BK1I4QM5ug1), WhatsApp Image 2022-09-28 at 18.36.37.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec9KKEVLdxc5qYeY/fldknrxBWGyUjOsAV/atth41nUTmRJgqpdv);1;R$26.52;86%;R$49.90
1090;Conjunto Candy Mundo Ray;Feminino;6 anos;laranja;WhatsApp Image 2022-09-28 at 18.36.29.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reczYmSoEnkU4ekO5/fldknrxBWGyUjOsAV/atteJ8Dt065nxAipi), WhatsApp Image 2022-09-28 at 18.36.30 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reczYmSoEnkU4ekO5/fldknrxBWGyUjOsAV/attow5BK1I4QM5ug1), WhatsApp Image 2022-09-28 at 18.36.37.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reczYmSoEnkU4ekO5/fldknrxBWGyUjOsAV/atth41nUTmRJgqpdv);1;R$26.52;86%;R$49.90
1093;"Tshirt Infantil Mundo Ray";Feminino;2 Anos;Sortida;;3;R$8.36;205%;R$25.90
1094;"Tshirt Infantil Mundo Ray";Feminino;4 anos;Sortida;;2;R$8.36;205%;R$25.90
1095;Tshirt Adulto Brasil;Feminino;P - Adulto;Sortida;;1;R$28.16;75%;R$49.90
1097;Tshirt Infantil Brasil;Feminino;10 anos;Amarelo;;1;R$20.84;85%;R$39.90
1098;Tshirt Infantil Brasil;Feminino;8 anos;Amarelo;;1;R$20.84;85%;R$39.90
1100;50 peças avulsas Raccoon;Unisex;;;;47;R$6.11;130%;R$14.90
1101;Body Regata + Short Lhama;Feminino;M - Bebê;Azul;20221204_113106.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rechiqPA8jsisjJEv/fldknrxBWGyUjOsAV/attRufEuCVpUbymbH);1;R$24.47;86%;R$46.90
1102;Body Manga Curta Smile Rosa + Shorts Marinho;Feminino;M - Bebê;Rosa;20221204_124137.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec0hoAdwiE87osaO/fldknrxBWGyUjOsAV/attuGo1ckR72eHdaN);1;R$24.44;85%;R$45.90
1103;Body Regata + Short Carrinho;Masculino;P - Bebê;Azul;20221204_113314.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec1Us822KIqqQXir/fldknrxBWGyUjOsAV/attdFWct0QFlaf205);1;R$24.44;86%;R$45.90
1104;Body Regata + Short Nuvens;Masculino;3 Anos;AZUL BEBÊ;20221204_124610.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recHi4aJphdwYDXCl/fldknrxBWGyUjOsAV/attwTJbWgZus8phr5);1;R$24.44;86%;R$45.90
1105;Body Manga Curta + Shorts Arco Iris Digital;Feminino;P - Bebê;Estampada;20221204_114019.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recIq9i1zriYLyjwf/fldknrxBWGyUjOsAV/attOrmiQmhnCfnbno);1;R$24.44;86%;R$45.90
1106;Body Manga Curta + Shorts Margarida;Feminino;3 Anos;Preto;20221204_143337.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recm4bLstaNCQSOOQ/fldknrxBWGyUjOsAV/attHthDpOGTaQOLbl);1;R$24.44;86%;R$45.90
1107;Body Regata + Shorts Ovelinhas;Feminino;1 Ano;AZUL BEBÊ;20221204_111943.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recX2mqqw9UbvzEx3/fldknrxBWGyUjOsAV/attfxFAo5Y0FNwpjq);1;R$24.44;86%;R$45.90
1108;Camiseta Manga Curta Azul + Shorts Ilhama Azul;Feminino;2 Anos;Azul;20221204_114624.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recNjjdzeAIQBCCgG/fldknrxBWGyUjOsAV/attc9kcvyh2TaFJq6);1;R$24.44;86%;R$45.90
1109;Body Manga Curta + Shorts Urso Bege;Masculino;G - Bebê;Branco;20221204_125052.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recDGq5I2cA5j9M9p/fldknrxBWGyUjOsAV/attZdrRdBQwzGXtZn), 20221204_125140.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recDGq5I2cA5j9M9p/fldknrxBWGyUjOsAV/attxMGJuVxO6Zr3vI);1;R$24.44;86%;R$45.90
1110;Body Manga Curta + Shorts Amarelo Liso;Unisex;1 Ano;Amarelo;20221204_142726.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recXXFM8PFck1Sm0w/fldknrxBWGyUjOsAV/att5q2eE61FBJcOjH);1;R$24.44;86%;R$45.90
1111;Body Manga Longa + Calça Cachorro Azul;Unisex;P - Bebê;Azul;20221127_114224.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec0eTMpQ9FmdBnHl/fldknrxBWGyUjOsAV/attlWXOG875pPHOvR);1;R$24.84;99%;R$49.90
1112;Body Manga Longa + Calça lhama Azul;Feminino;M - Bebê;Azul;20221204_112915.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec7AjoHiO4x4km1I/fldknrxBWGyUjOsAV/attnqV8R5PwFLymkJ);1;R$24.78;99%;R$49.90
1114;Body Manga Longa + Calça Guaxinim;Feminino;1 Ano;AZUL BEBÊ;20221204_141230.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec4MMTJgwglTCrPj/fldknrxBWGyUjOsAV/attYgAn1VvzoTO2aG);1;R$24.78;99%;R$49.90
1115;Body Manga Curta + Shorts Joaninha;Feminino;3 Anos;laranja;20221204_103316.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recRpATYr747Aiu4S/fldknrxBWGyUjOsAV/att8iMhKET3Bu3CTX);1;R$24.78;99%;R$49.90
1116;Body Manga Longa + Calça Joaninha;Feminino;3 Anos;laranja;20221204_105437.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recsAjjB94fT35xIS/fldknrxBWGyUjOsAV/attbX3qPkPLDRJsKA);1;R$24.78;99%;R$49.90
1117;Body Manga Longa + Calça Sol Love;Feminino;3 Anos;Estampada;20221204_123247.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recSwkuKByRwTvNxK/fldknrxBWGyUjOsAV/attntlQ8cWPLKrWgq);1;R$24.78;99%;R$49.90
1118;Body Manga Longa + Calça Guaxinim ;Feminino;3 Anos;Estampada;20221204_141230.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec9aL0W9zzkaDkf0/fldknrxBWGyUjOsAV/attYgAn1VvzoTO2aG);1;R$24.78;99%;R$49.90
1119;Macacão Longo Avião;Masculino;1 Ano;Azul;20221204_115423.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rechDKVQLwNBAdG2Q/fldknrxBWGyUjOsAV/attC3ysS008bGiv6p);1;R$26.95;80%;R$49.90
1120;Macacão Longo Sol Love;Feminino;G - Bebê;Estampada;20221204_122814.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reciBkRAxpWz1IZfd/fldknrxBWGyUjOsAV/att3GrEIzCWPBC1ZH);1;R$26.88;84%;R$49.90
1121;Macacão Longo Bichinhos na Floresta;Masculino;2 Anos;verde;20221204_160334.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recLevz50VcmCYqlu/fldknrxBWGyUjOsAV/attB7Y59XmuP3OPdB);1;R$26.88;84%;R$49.90
1122;Macacão Longo Floral Bordô;Feminino;2 Anos;Vinho;20221127_120839.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recYqWEPvUDcHNZVY/fldknrxBWGyUjOsAV/attvcdUCDUV3K1lo4);1;R$26.88;84%;R$49.90
1123;Macacão Longo c/ ziper Digital Gatinho;Unisex;4 anos;Marrom;20221204_141612.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recBBFJDQ7c7So7fh/fldknrxBWGyUjOsAV/attGYSzRR3NaeioW8);1;R$26.88;84%;R$49.90
1124;Macacão Longo Smile;Feminino;1 Ano;Rosa;20221204_102752.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recZqsbNkfrUzHVBF/fldknrxBWGyUjOsAV/attT8gqMnHU19n1pD);1;R$26.88;84%;R$49.90
1125;Macacão Longo c/ Zíper Digital Arco-Íris;Feminino;P - Bebê;Estampada;20221204_114218.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recjRdjL3D4iaqgj2/fldknrxBWGyUjOsAV/attHzXZ25LKYZbxcx);1;R$26.88;84%;R$49.90
1126;Macacão Longo Cachorro;Unisex;2 Anos;Azul;20221127_120157.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recxaSPbpE3t4WRjX/fldknrxBWGyUjOsAV/att53hXi9oG8LdoEI);1;R$26.88;84%;R$49.90
1127;Macacão Longo Ilhama;Feminino;2 Anos;Azul;20221204_114902.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWgp9lOGzvR7DqB/fldknrxBWGyUjOsAV/attz6oeJIZy0VAJsU);1;R$26.88;84%;R$49.90
1128;Macacão Longo Joaninha;Feminino;1 Ano;laranja;20221204_160611.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recuACbrUCVPMSkPq/fldknrxBWGyUjOsAV/attpuobk1SU0IOaCW), 20221204_160640.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recuACbrUCVPMSkPq/fldknrxBWGyUjOsAV/attljv1XT4krXNGp0);1;R$26.88;84%;R$49.90
1129;Macacão Manga Curta Espaço;Masculino;P - Bebê;Preto;317225202_702818817792951_7152997471486600198_n.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec62qgT5ZT6AQCUE/fldknrxBWGyUjOsAV/attMdSnxjC5zjC4O6);1;R$28.03;75%;R$49.90
1130;Macacão Manga Curta Espaço;Masculino;M - Bebê;Preto;317225202_702818817792951_7152997471486600198_n.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recnZNRSxIZ8Tdknm/fldknrxBWGyUjOsAV/attMdSnxjC5zjC4O6);1;R$28.03;75%;R$49.90
1131;Body Manga Curta + Shorts Urso Bege;Masculino;G - Bebê;Branco;20221204_125052.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recblfaKpLDqs4qmy/fldknrxBWGyUjOsAV/attZdrRdBQwzGXtZn), 20221204_125140.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recblfaKpLDqs4qmy/fldknrxBWGyUjOsAV/attxMGJuVxO6Zr3vI);1;R$25.26;80%;R$45.90
1132;Body Manga Curta + Shorts Urso Bege;Masculino;1 Ano;Branco;20221204_125052.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec5oblhYnyCYuMk1/fldknrxBWGyUjOsAV/attZdrRdBQwzGXtZn), 20221204_125140.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec5oblhYnyCYuMk1/fldknrxBWGyUjOsAV/attxMGJuVxO6Zr3vI);1;R$25.26;80%;R$45.90
1133;Body Manga Curta + Shorts Tubarão;Masculino;G - Bebê;Branco;20221204_132958.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reciF8bHK8Rb1HBeP/fldknrxBWGyUjOsAV/attnWing4YG41F73N);1;R$25.27;80%;R$45.90
1134;Body Manga Curta + Shorts Tubarão;Masculino;1 Ano;Branco;20221204_132958.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recaGCnRE3DcYToHx/fldknrxBWGyUjOsAV/attnWing4YG41F73N);1;R$25.27;80%;R$45.90
1137;Short Urso Trick Nick;Masculino;XG - Bebê;Azul Marinho;20221219_141111.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recLE5ROhCa5b8oyd/fldknrxBWGyUjOsAV/attKHzaiw0iYjliCa), 20221219_140926.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recLE5ROhCa5b8oyd/fldknrxBWGyUjOsAV/att2sHeUPPg3HpGgp);1;R$17.96;75%;R$31.90
1139;Short Urso Trick Nick;Masculino;XG - Bebê;Azul;20221219_141111.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec8dOa6lUMpPwzgS/fldknrxBWGyUjOsAV/attKHzaiw0iYjliCa), 20221219_140926.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec8dOa6lUMpPwzgS/fldknrxBWGyUjOsAV/att2sHeUPPg3HpGgp);1;R$17.96;75%;R$31.90
1140;Short Urso Trick Nick;Masculino;M - Bebê;Azul;20221219_141111.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recCKPapL7Q4XbgRa/fldknrxBWGyUjOsAV/attKHzaiw0iYjliCa), 20221219_140926.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recCKPapL7Q4XbgRa/fldknrxBWGyUjOsAV/att2sHeUPPg3HpGgp);1;R$17.96;75%;R$31.90
1141;Jardineira Urso Trick Nick;Masculino;P - Bebê;Azul Marinho;20221219_141358.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recm9lPazEd0IDPmc/fldknrxBWGyUjOsAV/atto6ljaveP1PmN7Q);1;R$31.52;75%;R$55.90
1142;Jardineira Urso Trick Nick;Masculino;M - Bebê;Azul Marinho;20221219_141358.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recoYeTGov9omF6FV/fldknrxBWGyUjOsAV/atto6ljaveP1PmN7Q);1;R$31.52;75%;R$55.90
1143;Jardineira Urso Trick Nick;Masculino;G - Bebê;Azul Marinho;20221219_141358.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rectmwWOnlOUg8FCF/fldknrxBWGyUjOsAV/atto6ljaveP1PmN7Q);1;R$31.52;75%;R$55.90
1144;Jardineira Urso Trick Nick;Masculino;XG - Bebê;Azul Marinho;20221219_141358.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recOrR45shywzMoHD/fldknrxBWGyUjOsAV/atto6ljaveP1PmN7Q);1;R$31.52;75%;R$55.90
1145;Conjunto Camisa e Short woof woof cachorro Trick Nick;Masculino;M - Bebê;VERMELHO;;1;R$30.39;82%;R$55.90
1148;Macacão Curto Romper Laise Trick Nick;Feminino;P - Bebê;Off White;;1;R$37.17;75%;R$65.90
1149;Macacão Curto Romper Laise Trick Nick;Feminino;M - Bebê;Off White;;1;R$37.17;75%;R$65.90
1150;Macacão Curto Romper Laise Trick Nick;Feminino;G - Bebê;Off White;;1;R$37.17;75%;R$65.90
